Assemblage_Name	3-4-5059850	3430237-4-0	3-2184686-0	3-2763695-0	3-4-3963809	3-4-715634	3-4-8991688	3-7906661-0	2552291-4-0	3-4-6449685	3-7623083-8089889	3-4-8401262	3486171-4-0	3-4-1885743	9498726-4-0	920428-4-0	2132846-4-0	3-6026345-0	3-5803701-0	3-4-7822677	341264-4-0	3-7035050-0	3-4-8698197	9047473-4-0	3-4-3822598	3-4388793-0	4744818-4-0	7704181-4-0	3-7302591-0	3-4-9752555	3-4-9611364	3-4-8089889	3-4-4749631	1370288-4-0	857461-4-0	3-4-8804893	3-4-9327409	3-9690328-0	2182750-4-0	97739-4-0	5346492-4-0	3-4-518390	3-4-7798919	3-9675265-0	373472-4-0	3-4-6742515	3-4-6748814	3-4-3983719	989290-4-0	3-7382759-7822677	7530926-4-0	4714009-4-0	5117906-4-0	2210862-4-0	4933076-4-0	3-6738139-0	3-2669467-0	2410957-4-0	3-1079850-0	3670641-4-0	3-4716621-0	3-4-2663012	4019199-4-0	848247-4-0	3-2535335-0	3-4488064-0	3-4-7205423	3-3037879-7822677	3-6467110-0	3-4165637-0	6923035-4-0	3-283953-0	3-4-998414	3-4-5448719	9205060-4-0	3-4-9472345	3-4-6319337	3-4-7113354	3-4-6381790	597041-4-0	3-3179402-0	3-4-6034707	3-1998642-7822677	3-1362616-0	3-3600699-0	3-2376761-0	3-4-4911443	3-1846949-8089889	3-4-3560976	3-8384516-0	3-4-8317682	4809245-4-0	3-4-4865523	1941706-4-0	8830136-4-0	3-1750692-0	3-4-9967517	3-6241434-0	1706716-4-0	3-7023767-0	3-5410606-0	3-2864015-0	2287724-4-0	5509531-4-0	3-9198020-0	3-4-4972369	5730225-4-0	4349250-4-0	8052390-4-0	5223973-4-0	3-4-0	3-9332309-0	3-4-7447945	2220792-4-0	6029240-4-0	2174182-4-0	3-4-451364	3-8291610-0	3-8953049-0	3-4-4374051	3-4-622595	5860255-4-0	3-3812736-0	3-4651474-0	1374266-4-0	3-4-5484808
assemblage-15-2	0	0	0	0	0	0	1	0	0	0	0	0	359	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	49249	0	0	13	0	217	0	13	1	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1127	2	0	1	0	0	0	0	0	0	0	0	0	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	19818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	29768	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	19523	0	0	0	0	127	1	0	0	0	0	0	0	0	1	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	0	0	0	0	0	193	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19401	0	0	0	0	100	0	5	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	166	29754	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
assemblage-1-4	0	0	0	1	0	0	0	0	5	0	0	0	370	0	0	0	0	0	3	869	0	0	0	0	0	0	0	1	0	0	0	4276	0	0	0	6	0	0	2	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	1	0	36	0	1	6	0	0	32	2	0	0	2	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	234	83891	0	0	0	0	103	0	0	0	0	0	0	2	0	1	0
assemblage-3-2	6	0	0	0	0	2	0	0	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2755	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15865	2	0	0	0	64	0	0	0	0	0	0	0	0	0	0
