Assemblage_Name	0-5968470-4970189	0-1-2626236	0-1-0	0-7760573-4970189	1390666-1-4970189	582227-1-4970189	0-4315041-4970189	0-2566614-4970189	0-1-7800091	0-1-9841277	0-3874216-4970189	0-3155395-4970189	0-1-7823033	4-1251997-0	0-9612102-0	0-1-1774091	0-1224718-4970189	4-3-45668	4-3-5702263	0-1-1775559	0-1-1536876	7324974-3-0	4653441-1-4970189	0-9414353-0	0-1-4958085	4-3-1027952	8853173-1-4970189	5781120-1-4970189	93855-1-4970189	9323835-1-4970189	4995628-1-4970189	4-3-2990401	0-1-1507188	0-1-6593291	4-2153322-0	0-1-4006074	0-1-4970189	4-492689-0	0-1-3707457	0-2184703-0	9274966-1-4970189	4-6931189-0	4-2665743-0	0-1310047-4970189	9934534-1-4970189	142565-1-4970189	4-3-1313753	7261044-1-0	6375804-1-4970189	4895060-1-4970189	3762280-1-4970189	0-9774436-0	1180979-1-4970189	0-1-1816465	1240035-1-4970189	0-8919953-4970189	0-7422084-4970189	0-4420221-4970189	0-9926551-4970189	4-1662174-0	0-9892045-0	0-8892303-0	4-8893239-0	0-4381430-4970189	0-1-6678849	0-8975292-4970189	4880371-3-0	5271741-1-4970189	4-3-7999159	1544269-1-4970189	4-3257965-0	5219413-5439127-4970189	510326-1-4970189	933287-1-4970189	0-1-78311	769604-1-4970189	0-1-4306966	0-3801106-4970189	4731883-3-0	493041-1-4970189	0-3984146-4970189	1594000-1-4970189	0-1-3611719	4-3-0	5125514-1-4970189	9636276-3-0	5546938-1-4970189	4-3-5882201	3247793-1-4970189	2129503-1-4970189	0-4351974-4970189	0-5648251-0	0-1-6427373	0-1-3418476	4-3-8958590	0-5526716-4970189	0-298473-4970189	1413463-1-4970189	4938619-1-4970189	0-2512628-4970189	0-4595454-4970189	0-1-4247625	7289174-1-4970189	5149804-1-4970189	0-1-1296531	0-5729463-4970189	7055842-3-0	0-5439127-4970189	4370242-1-4970189	4379066-1-4970189	0-1-4731852	0-1-7953227	7087159-1-0	0-4347347-0	0-1-1350120	9824370-1-4970189
assemblage-15-2	0	0	2423	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	39	0	170	0	1	33964	0	0	0	0	0	0	1	0	1	0	0	62	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	398	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	11465	18	0	0	3	0	0	0	0	0	0	32	0	0	0	0	78	3	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	20280	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20276	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	24396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4149	0	0	0	0	0	5	0	0	1	0	54	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-28-1	0	0	2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8039	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8995	35	3	0	0	0	0	0	0	0	0	0	3	0	0	0	61	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	8195	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8629	39	0	0	0	1	0	0	0	0	0	3	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	24436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4048	0	0	0	0	0	5	0	0	0	0	41	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	13389	0	15	0	0	2	0	0	0	0	1	2	1	0	2	1	0	0	0	0	0	0	0	18	0	0	0	0	0	6	0	485	0	0	53776	0	0	0	0	0	1	0	0	8	5	0	0	0	0	0	0	8	0	0	6	0	0	0	1	0	0	0	0	2	198	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	19996	60	1	0	0	0	25	0	2	0	0	39	2	0	28	0	66	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0
assemblage-3-2	0	0	10454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	877	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7776	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
