Assemblage_Name	2-2-8188484	2-2-5881204	2-2-9115032	4238993-2-0	2-2-3159820	2314151-2-0	2-9750408-0	9182950-2-0	2-4050939-0	2-2-5039848	2-6711827-0	5811675-2-0	6555626-2-0	2340762-2-0	1980354-2-0	2445036-2-0	521970-2-0	9907344-2-0	5412057-2-0	2-2-4002011	2-4212639-0	2-2-5753231	3668180-2-0	2-2290949-0	2-5151321-0	2-6962721-0	2-9406082-0	3455886-2-0	2-9476929-0	2-4352593-0	2-2-9974525	2-2-4961926	2-2-2224579	2-2-5309752	2-2-2737388	2-2-3703649	3528115-2-0	8268195-2-0	2-921527-0	7039641-2-0	2-2-3898094	2-2-0	2-2-8560798	7368584-2-0	308703-2-0	2-9522696-0	2-2-7530099	4423119-2-0	2-2-1677016	2-2678195-0	2-5582182-0	2-2-8371437	7707085-2-0	2-2-8616721	2-2-3118319	7633903-2-0	325526-2-0	2-5050838-0	2-9082850-0	2-2-7685582	2-7719540-0	8604589-2-0	2-4628495-0	2-2-8601943	4745129-2-0	2198630-2-0	2-9238017-0	2-2-9070133	7639747-2-0	2-4994626-0	2-726546-0	2-2032620-0	2-2-9714184	2-8301134-0	2-2-798903	4423326-2-0	2-2-8367028	3211132-2-0	2-4451270-0	1690063-2-0	2-2-1447394	9339076-2-0	2-137554-0	2-22473-0	2-6496541-0	2-2-3194774	2405089-2-0	2-2-2558742	2-2-9661709	2-2-3775179	2-2-6788871	7453025-2-0	2-2-2362071	2-2-3101173	2-2-320032	2-2-1963409	9864012-2-0	6763465-2-0	2-2-2138376	2-3930496-0	2-2-9085629	2-2-8864273	9597855-2-0	9919426-2-0
assemblage-15-2	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	49626	0	0	0	0	0	0	0	206	0	0	0	25	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	6	5	0	0	0	1	0	0	1	0	0	0	0	21131	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	3	0	0	0	0	53	0	0	0	0	0	1	0	21308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30032	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19798	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19499	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-2-3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	30051	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	1	0	0	25	0	0	0	0	0	0	0	90486	0	0	0	0	0	0	26	73	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19307	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
