Assemblage_Name	4-1-6554146	4-1388967-0	7577817-1-0	746170-1-0	4-7509856-0	5553930-1-0	4-1-8993844	6579575-1-0	4-4944013-0	2489775-1-0	4-1-311458	4-1-7806593	4-7481772-0	4-9812896-0	4-1-0	4-4285471-0	4-1-9419767	4-1-374331	4-1-6510830	8908274-5202785-0	1163265-1-0	4-1-2069376	4-9685638-0	4-4026837-0	4-6416258-0	4-1-7367083	4-1-5799311	4-1-5269521	4-6433275-0	4-8485983-0	4-1-4323727	4-1-3831789	4-2596643-0	4-1-5125804	7507023-1-0	4-5669316-0	4-1-291299	431099-1-0	4-3735777-0	4-1-6534632	4-1-7706579	4-4150255-0	4-1-7183080	4-1-6731556	4-1-1283472	4-3534060-0	8908274-7484481-0	4-1-5255215	4-1-5862593	2513496-1-0	4-8734108-0	4-66752-0	8908274-1-0	4639137-1-0	4-1-1120514	4-1-1435938	3744587-1-0	9605978-1-0	4-1-5771887	9093788-1-0	4-6119592-0	9668245-3934090-0	4-1-623670	4-1-3915487	4-1-9042175	4-1-8376465	4-580460-0	9478321-1-0	4-1-4697700	4-1-8230787	3877410-1-0	4-3532362-0	4-5037707-0	162640-1-0	4-579201-0	4-1332368-0	1351581-1-0	4-2585886-0	4-1-6490060	4-1-9237206	6928035-1-0	4-7805483-0	2677571-1-0	4-6664221-0	4-1-6204322	4-3934090-0	4-1-4458582	292718-1-4697700	4-6423851-5816986	4-3597820-0	4-964910-0	4-7940326-0	4-6423851-0	4-1-4640722	7753374-1-0	4-2984579-0	4-3981979-0	4-1146862-0
assemblage-15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48254	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	4	0	0	0	6	36	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	20083	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	286	0	0	0	0	727
assemblage-11-2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	20106	0	0	0	0	27	0	0	0	0	0	0	0	0	0	1	0	0	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	6	653	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	441	0	0	0	0	384
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26753	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2113	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	19688	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19858	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-12-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19732	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0
assemblage-1-4	0	0	0	0	0	0	4	11	4	0	0	0	0	0	85267	12	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	4	6	25	4	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	3214	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	528	0	0	0	0	314
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18827	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19852	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	20259	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	231
assemblage-28-3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	19755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
assemblage-25-4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38566	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19837	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	19992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	0	0	1	0	324
assemblage-20-3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	19791	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	63
assemblage-20-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18834	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	4	0	0	0	0	0	0	0	0	7	0	0	0	39881	0	0	1	0	8	0	0	0	0	0	0	1	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	514	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	390	0	0	0	0	678
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28541	0	0	0	3	12	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	2	0	0	0	7	66	0	1	0	0	0
assemblage-19-1	0	0	0	1	0	1	0	3	0	0	0	0	0	0	65781	5	0	0	0	10	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1523	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	59	0	0	0	0	0	85	0	1	1	0	1	1	0	0	1	0	92	0	3	0	0	0	2	215	0	0	0	3	0
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18827	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
