Assemblage_Name	1-0-3861578	7850170-8666688-1	1-0-2042892	1-1116630-1	1-0-8764900	1-7636165-1	1-6847637-1	7850170-0-6412675	1-0-7105512	7850170-0-1	7850170-7589581-1	1-6014529-1	1-0-6795555	6588920-0-1	7850170-0-7786065	1-0-3105096	3514185-0-1	7850170-9240260-1	7850170-1456019-1	233544-0-1	2069945-0-1	9643613-0-1	1-9577242-1	1780198-0-1	7850170-0-330701	7850170-918359-1	1-1241202-1	1-0-1	1-2292893-1	7850170-0-1772702	7850170-0-1241591	1-0-52064	931968-0-1	7850170-3965199-1	8437154-0-1	1-437191-1	7850170-8071644-1	7850170-0-6657291	3144351-0-1	1183703-0-1	1-0-5152873	7850170-0-3687517	8202684-0-1	1-0-3083492	7283075-0-1	1-2241656-1	1-6935114-1	1-0-3929881	1-0-2111994	7850170-5648812-1	7046654-0-1	9564355-0-1	5926259-0-1	7850170-0-8137111	7850170-1096264-1	2598930-0-1	1-0-5410937	7850170-3515832-1	7850170-0-6964414	7850170-0-7163462	6266966-0-1	1-0-9999510	1-0-1646103	635329-0-1	1-0-4676506	1-0-7325584	5934366-0-1	1-7264119-1	7850170-0-5412261	1-0-137967	1-0-8874535	1-4307467-1	7850170-0-7753555	1-0-4468412	1-9773268-1	7788004-0-1	2911195-0-1	7372915-0-1	7850170-0-7664425	1-2997150-1	1-7075972-1	1-0-6906351	1-3023522-1	1-0-9080368	7850170-1979429-1	1-7649096-1	7850170-0-5988576	1-0-6044411	4880766-0-1	7850170-0-2032387	2922485-0-1	8524903-0-1	1-7771641-1	1-0-797332	2512842-0-1	5122367-0-1	8531555-0-1
assemblage-15-2	0	0	0	0	0	0	0	0	0	1732	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49067	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
assemblage-11-3	0	1	0	0	0	0	0	0	0	16612	0	0	0	0	0	0	0	0	3	0	0	1	0	0	9	1	0	4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	15867	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	6051	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24267	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	1	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	20211	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	20163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20520	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	2	0	0	3	0	2	1	0	0	0	0	0	0	1	0
assemblage-2-3	1	0	0	1	0	0	0	0	0	6136	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	24151	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	0	0	0	0	0	0	0	21899	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	70538	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	7	0	0	0	0	0	2	203	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-3-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	20178	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	14	0	15377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	5280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	20199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0
