Assemblage_Name	4-0-3540240	5793679-0-1	4-8627859-1	4-6692571-1	4762207-0-1	4-0-8252632	0-4-2838879	4-6766578-1	4-4-2306001	4-5581035-1	5423988-0-1	4-0-3603544	8402537-4-1	4-2321762-1	4-7912872-1	4-4478835-1	4-4771475-1	5161985-4-1	4-1064391-1	4-4-9163010	4-0-6859618	4-0-5922232	9068187-0-1	9156241-1-1	3973533-1-1	4-5230685-1	4-5203913-1	4-4-3012664	6035072-4-1	7925545-0-1	4-4-9235449	4-8109790-1	2-2840189-1	4-3578411-1	625818-0-1	1214005-0-1	3-3-7916626	5339755-0-1	4-0-6856626	4-0-2673488	7782888-0-1	4-5070307-1	0-4-1971849	4-2370225-1	0-4276320-1	5733670-0-1	4-0-664765	4-0-9465080	2588796-0-1	3216082-0-1	9785741-0-1	5439490-0-1	4-2500346-1	4334353-0-1	2627775-0-1	4-7625301-1	4-7463870-1	8560559-4-1	2-7591601-1	4-0-3315654	0-9447350-1	2120133-0-1	4728989-1-1	8396582-0-1	8858341-0-1	2-7292100-1	3262325-4-1	4-0-6413558	5158484-0-1	7996379-0-1	535511-4-1	0-4-9150206	3-6881639-7457175	4-0-9701368	6528548-0-1	239428-4-1	4-8571777-1	4-8563314-1	2973545-0-1	3869778-4-1	4-6617346-1	5292552-4-1	4-0-5613913	9220480-0-1	0-4-7308386	4-5152103-1	4-5827235-1	4-0-4335728	0-4953767-1	0-4-6770472	6489081-4-1	4-5690704-1	4-0-4701178	0-2587624-1	7638233-4-1	4-0-9553717	9295649-4-1	4-8701374-1	4-0-8105127	6054204-4-1	2191540-0-1	2-1-1934534	1192843-4-1	4-979191-1	3024194-0-1	4-0-9856515	4-4-5025332	3824015-0-1	8962931-4-1	1-3-9388779	4-4417026-1	0-4-1467255	7508515-4-1	4-8118300-1	4-399431-1	4-3230333-1	4-0-201346	2-880113-1	4-0-9000188	4-4239784-1	2684955-4-1	4-0-47705	3537616-0-1	2801753-1-1	4-0-577182	4-1047694-1	2-1-4484131	4-0-9172269	4-4-2437654	6803329-0-1	4-0-9405103	4-0-6034280	8763907-8831645-9388779	7686761-0-1	4-0-7780092	4-2843278-1	4-4-5318214	4-0-5267033	4-2737846-1	4-6896773-1	4-1034818-1	0-2299718-1	4-0-6237334	106725-0-1	4-0-1426297	6947108-4-1	4-2092617-1	4-0-4865094	4-2715316-1	3728975-0-1	4-7858367-1	4-7774555-1	2-1-1	4-0-6226914	4-702953-1	4-0-496585	4-0-6717757	4-6704614-1	4-4373459-1	4-0-2259135	4-0-9294210	4-2011048-1	4-7225210-1	3-3-665386	4-6806042-1	4-0-4411728	2798287-0-1	4-0-7989118	4-0-8456234	4-4-9468767	4-0-7821951	2575918-0-1	4-0-8136627	3-8729693-2	4-0-710799	7736034-0-1	4-0-5376783	0-4-7565484	4-0-7352958	4-0-6473388	4-8964614-1	1880677-0-1	4-7381587-1	4-7236702-1	823318-0-1	2126360-4-1	7847371-0-1	4-8794996-1	2198016-0-1	1636112-0-1	2329439-0-1	4-9099645-1	4-4-1440153	8604949-0-1	0-7299323-1	0-3333114-1	2-1766599-1	0-3147290-1	6228724-0-1	4-0-8759627	4-4-788572	4-0-9989575	4-0-5304023	4-0-6294397	4-0-2091775	3883508-0-1	2-1-5413311	4-0-3159040	9063882-0-1	0-4-8579449	4-6678699-1	4-1464847-1	7041794-4-1	6077586-4-1	8223079-0-1	4276404-9692263-1	8406452-0-1	4-9749864-1	4-387229-1	4-0-9604752	4-2216902-1	4-9692263-1	4-0-7364358	4-6525167-1	3562106-0-1	4-1350571-1	4-8230193-1	1135096-0-1	3577922-0-1	9721909-4-1	8083525-1-1	3-3-2	0-4-1199238	4-4-7192955	4-4-2289553	4-6252141-1	4-5405064-1	8501251-4-1	4-0-4826759	2-6890031-1	4-7883683-1	4-751307-1	4-0-1860223	2-1-8879874	9067069-1-1	0-7324958-1	5793679-0-8918681	4694929-0-1	7091088-0-1	4-2689798-1	4-0-2266174	4-2872231-1	0-4-2473602	0-4-1624523	3995388-0-1	4-0-9402873	0-6859452-1	4-7464306-1	4-4703538-1	4-0-9176162	2-1-3275591	4902736-4-1	4-7638387-1	9522306-4-1	4-7518646-1	4-8053195-1	4-1763158-1	4-0-1	2-1-7877935	4-4725394-1	3539339-1-1	6306185-1-1	0-4-8169556	4-4-5230660	5989564-0-1	4-4-1	2813503-4-1	4-1143570-1	2-4610646-1	5840107-4-1	0-9961187-1	4-8855971-1	4-4-245059	0-4-4745474	9641954-0-1	2853313-0-1	4-946536-1	2-1-8659403	2-2401260-1	3539398-4-1	3101449-0-1	4-0-7838808	8382355-4-1	4-0-6793760	795038-0-1	0-4-4670252	4-3024000-1	4-0-733746	7218629-1-1	4-3931135-1	4-0-5508854	4-0-2030631	9693182-0-1	0-9241304-1	4-3307882-1	4-6981761-1	9573023-0-1	0-4-4182878	7343844-1-1	7044241-1-1	0-4314460-1	2-1-3080097	4-0-7713584	4-0-2048179	0-9127197-1	4-4-6704542	9088097-0-1	6882762-4-1	4-975920-1	4307117-0-1	6644127-1-1	8912191-0-1	3-6941421-2	4-1830697-1	5594915-0-1	2-7203308-1	4-9354675-1	4-0-3599230	4-0-2999793	2495328-0-1	8232796-0-1	4-0-7687201	0-9415775-1	381864-0-1	9026307-4-1	8233676-1-1	0-6932194-1	0-4-1	5194531-4-1	2551172-0-1	4-4611487-1	7192502-3-2	4-0-6355516	2042270-0-1	4-4926109-1	4-9172951-1	5892327-0-1	4-379744-1	4-0-745840	4-0-4482897	1-8831645-9388779	4-0-6160619	4-0-5594006	4-5145560-1	4-9981108-1	4-0-2037307	0-4-1148326	4-8044310-1	5310721-4-1	3478694-0-1	4-0-4465979	3-3-7457175	0-4994187-1	0-4-1285289	0-4-5258750	4-0-892426	4-0-5443182	4-0-1532731	4-0-5358096	4-2731844-1	4-0-8990654	0-4-2495491	3907636-0-1	4-0-8853439	8956015-4-1	8340999-4-1	221946-4-1	2-6457759-1	1879958-0-1	4-2378029-1	4234724-4-1	6918568-0-1	4-0-4830331	4-3285566-1	2-1-9462545	7467348-4-1	7606135-0-1	4-7217045-1	4877067-4-1	4-0-4010202	4-0-7299076
assemblage-20-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	35207	0	0	0	0	0	0	0	5678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6840	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	74	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	53	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	36637	0	0	0	0	0	0	0	4091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	23378	0	0	0	0	0	0	0	7291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	1	0	0	0	0	0	0	0	2273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
assemblage-16-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	35728	4	0	0	0	0	0	0	5858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6497	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	76	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
assemblage-4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2173	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	22681	0	0	0	0	0	0	1	7549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1861	0	0	0	0	0	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	2371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
assemblage-49-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29318	0	0	0	0	0	0	0	7156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	23	0	0	0	0	0	0
assemblage-16-18	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9876	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	65217	1	0	0	0	0	0	0	9636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	307	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16288	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	49	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29661	0	0	0	3	0	0	0	7089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	58	0	0	0	55	0	0	0	0	0	0
assemblage-49-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1077	0	0	0	0	0	0	0	0	0	920	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	65688	0	0	0	0	0	0	0	9567	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16399	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	178	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	23011	0	0	0	0	0	0	0	7446	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1915	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	2644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
