Assemblage_Name	1-2-4163450	8738308-2-2840273	7257824-2-2840273	1-5723173-2840273	1-1895797-2840273	1-2-3343113	2461009-2-3	7500851-2-2840273	1-1306650-3	1-2-9209428	1-2-3042014	1080247-2-3	5420657-2-3	935879-2-2840273	4997514-2-3	1-2-5193306	5317941-2-3	3427308-2-2840273	1-2-1191582	1-8539817-3	4289092-2-3	9934547-2-3	1-2-499520	6772018-2-3	8276753-2-3	1-2-3162871	1443906-2-3	1-9585907-3	1-2-8230546	1-2-3996369	1-4663990-2840273	1-2-5778272	1-2-9056756	1-4090322-3	1-2-5175486	4105529-2-2840273	1-2295293-2840273	1-1244370-3	1-2-1757954	1-9072073-3	1-2323275-3	1-2-4813660	9567113-2-3	7297216-2-3	1-3469557-2840273	4044875-2-3	8376001-2-3	1-2-4897428	1-2-9933434	1-4275117-3	1-2-6383001	7507121-2-2840273	1-6533657-2840273	1-2-1019251	944931-2-3	1-2-7109136	1-2-9968115	1-5796155-2840273	2857803-2-3	1-2-9743802	2154849-2-2840273	1-5216275-3	1350965-2-2840273	1-1290584-2840273	1-2-2840273	1-2-4318862	7008065-2-2840273	2012410-2-2840273	1-2-811353	8768529-2-2840273	2199879-2-2840273	929178-2-3	1-3806641-2840273	1-1726714-3	1-3354716-3	6012606-2-2840273	1-2-8502963	1977500-2-3	1-6421357-2840273	1-2-9267351	4845020-2-3	1-2-6907817	1-2-794489	8852275-2-3	1-5078695-2840273	7518996-2-2840273	1-2-6643467	1-9070686-2840273	1-8286712-3	1-5460578-3	1-1250343-3	1-1675981-3	1-3925475-2840273	2068807-2-3	1-2-8501939	8710773-2-2840273	2267645-2-3	1-2-5511104	2574223-2-2840273	1-2-5800841	1-2-4471331	1-2-3	1-5938272-2840273	1-7204645-3	1-2-4675459	9830580-2-3	1-1107607-3	1-2-6951006	1-7051440-2840273	1-4296259-2840273	1-2-9029201	1-2-9070695	1-8988401-2840273	1-602318-2840273	4252296-2-3	1-5556338-3	7715252-2-3	7907645-2-3	1-2-6665611	5729832-2-3	9272654-2-2840273	1-2726812-2840273	1-2-3557885
assemblage-15-2	0	0	0	0	129	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	19657	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	29621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	20	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9913	0	0	3	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	10441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	13781	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16010	1	0	0	0	0	0	1	7	0	1	3	0	0	0	0	0	0	0	0	1	0
assemblage-28-1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3005	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16492	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0
assemblage-12-1	0	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	34	0	0	0	0	0	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	63	0	0	0	0	248	0	1	0	0	0	0	0	0	0	0	0	0	18228	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	14	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
assemblage-2-3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	13466	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16304	0	0	0	0	0	2	0	27	0	0	2	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	6	2	0	15	0	0	0	0	26	0	0	0	0	1	4	0	0	1	8	0	0	0	0	0	0	2	16	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29942	14	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59237	0	0	0	0	0	0	0	44	1	0	2	0	0	0	9	2	2	0	1	0	0
assemblage-3-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4151	0	0	0	0	0	0	0	0	0	1	0	0	10	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	15239	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
