Assemblage_Name	1-3-2751549	1-3-4069834	1-2976960-2	3287687-7209679-2	1-3-4523598	1-3-1415392	8542741-3-2	3545312-3-2	1-3-7550084	82687-3-2	1-3-6978720	6079694-3-2	1-3-9526525	1-3-6465854	9021535-3-2	1-3-2	1-6016740-2	1-3-759361	1-9391726-2	1-3-4144336	5023691-3-2	6151128-3-2	1-3-7952927	1-3-2045292	1-3-5425817	2234217-3-2	1-6888639-2	1-8975939-2	1-3-8924942	7066096-3-2	1-3-737597	8337617-3-2	1-3-912711	1-3-4970003	1-2173022-2	1-4657041-2	3105728-3-2	1-4796880-2	1-3-2541546	1-3-4667247	1-1298422-2	4652927-3-2	6323410-3-2	1-7055788-2	1744533-3-2	1-3-4750632	1-3-1869395	1-1628816-2	1-9667191-2	1-1719997-2	3928329-3-2	4135210-3-2	1-3-4163132	1-3-1190187	1-8595173-2	5998846-3-2	4244942-3-2	1-3-2585278	1-3-276913	1-666055-2	1-6315840-2	2403045-3-2	1-3-7111153	1-9503624-2	1-3-6504183	9231-3-2	9422716-3-2	1-2822625-2	9277942-3-2	1-6975767-2	1-7209679-2	1-6337065-2	1-3-7069101	7985223-3-2	1-3-2858127	1-3-9071319
assemblage-15-2	9	0	0	0	1	0	0	0	3	0	0	0	0	0	0	49575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21285	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
assemblage-12-4	3	0	0	17	3	0	0	0	0	0	0	0	0	1	0	29670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19583	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	19661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19594	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	29681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	0	0	95	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	1
assemblage-1-4	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	89273	0	8	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	11	0	0	0	5	8	0	0	0	121	0	0	0	2	0	11	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	182	0	0	0	0	0
assemblage-3-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	18686	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
