Assemblage_Name	1-8287493-1	4800313-4-1	9325581-4-1	1-5223093-1	6645052-4-1	4010404-4-1	9212118-4-1	1-926847-1	3388719-4-1	1-883343-1	1-4-8706681	1-9291983-1	1-6857167-1	1-0-8273593	7750384-4-1	1-4-1	2788387-4-1	1-4-7006987	8370439-4-1	6467554-4-1	1-4-7912569	8169465-4-1	9817044-4-1	5777884-4-1	9710458-4-1	1-4-1725318	1-4-8177692	1-117370-1	1-892832-1	1802469-4-1	1-4070863-1	3374434-4-1	1-4-4950150	1-7913823-1	1-7139280-1	1-1622259-1	1-4-5274370	7235144-4-1	4350961-4-1	1-9293690-1	1-899803-1	1-4-8431876	1-4-1948503	5666694-4-1	1-4181672-1	1-2737155-1	1-4-7461832	1-4-8602880	4827891-4-1	5453115-4-1	1-4-1488118	2357082-4-1	1-2261443-1	1218385-4-1	46653-4-1	9555215-4-1	1-4-1250884	1-1685438-1	1-7094100-1	1-3176678-1	1-4-7691731	1-4-2199517	1-6895972-1	1-6951534-1	8505558-4-1	1-4-2307389	5163795-4-1	9469889-4-1	8468306-4-1	1-4612243-1	1-776298-1	1-4-6110222	1-1745643-1	1-4-1031430	6342237-4-1	8187913-4-1	1-0-3	1-4092619-1	3654202-4-1	1-6553135-1	1-3307943-1	1-4-1019717	5886798-0-3	1-4-3026408	1-4-5752461	1-4-4092358	1-4-2035437	5187237-4-1	1-6429882-1	1-4-4342110	1630426-4-1	1-4-6868926	1-1247660-1	1-9077032-1	1-4-4598444	5448593-4-1	1-759755-1	1-4-5726191	1-4-4551588	1-4-5450010	1-4-6448537	1-4-4879069	5921832-4-1	1-5512791-1	76-4-1	1-286713-1	1-4-8196501	1-6814086-1	1-9170405-1	2732209-4-1	1-5363412-1	1-8603875-1	1-4-8487854	1-8454468-1	1-2299488-1	1-5326775-1	1-6059915-1	1-4-3901038	1-4-5269374	3019611-4-1	7071895-4-1	1-4-1815308	1-1500531-1	1-4-6406598	1-2473642-1	607225-4-1	6800979-4-1	1-4-8132349	1-4-2107827	1-1671251-1	9862281-4-1	1-4-2400949	1-9269113-1	1-6261816-1	1-2892929-1	1-4-1261357	1-3765145-1	1-3284611-1	1-1344183-1	1-4-8658823	1-4-9731184	1-9816558-1	1-4-7690319	1-6137184-1	1-4-5884657	8664526-4-1	2133383-4-1	1-2308866-1	1-4-1410958	1-4-7538431	1-5810585-1	1-9805754-1	1-4-8872449	1-4-5238317	1-4-3201660	1-8867225-1	8473586-4-1	1-1400554-1	1050829-4-1	4451427-4-1	7571055-4-1	9445038-4-1	1-4-6862815	1-4-7470204	1-3704792-1	1-4-5085184	1-4-2287337	1-4-4319136	1-4-5111525	1254715-4-1	1-3607884-1	1-4205147-1	2156081-4-1	1-4-9086559	1-4-681668	2169894-4-1	1-5872687-1	1-2274683-1	1392994-4-1	1-6437937-1	1-8116973-1	1-2476601-1	1-4-666671	1-8243838-1	1-4-7346745	4841316-4-1	1-4-451288	1-9107934-1	1-9680180-1	3436748-4-1	1-0-5904433	1304650-4-1	1-4-9116987	1-8520039-1	7491717-4-1	1-6477383-1	4369648-4-1	682756-4-1	1-4-9512231	5050114-4-1	1-4-9321429	1-8337978-3	1-4-2107503	7938514-4-1	1-4-5029132	2767848-4-1	1-8739094-1	1-2604102-1	7757903-4-1	1-4-8368222	2739941-4-1	1-4517594-1	1-4-2218767	4290600-4-1	1-7738143-1	1-4-2317234	1-4-739484	1-4-331496	1-4384263-1	1-4-352193	1-4-9740468	1-9974631-1	7934538-4-1	8628177-4-1	1-20328-1	1-4-1864755	1-6497911-1	1-7415582-3	1806685-4-1	1-4-5607174	1-3242705-1
assemblage-15-2	42	22	3	0	0	0	0	0	0	0	0	29	0	0	0	48706	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	87	0	0	0	7	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29043	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	10	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	102	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	106	2	0	0	0	1	0	0	0	0	0	0	0	0	0	19760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	94	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	13	0	0	0	0	0	0	11	0	21	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	102	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	20312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	1
assemblage-12-2	76	11	0	0	0	0	0	0	0	0	0	0	0	0	0	19354	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	238	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	82	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	28953	0	0	0	0	0	1	0	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	128	0	0	0	25	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
assemblage-1-4	183	15	0	0	0	0	0	0	0	0	0	0	2	0	0	87800	0	1	0	0	0	0	0	0	0	1	0	24	0	0	0	4	0	0	0	0	0	0	0	0	4	0	8	0	5	0	0	1	0	2	0	0	0	224	0	0	2	0	0	0	2	16	0	1	0	0	0	1	0	0	0	0	0	0	0	0	839	0	0	0	0	0	0	0	48	0	0	0	31	0	0	0	0	0	6	0	1	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	44	0	0	4	0	0	0	190	0	0	0	28	0	1	0	139	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0	0	0	0	1	39	0	0	0	0	0	0	10	8	0	1	1	0	0	3	36	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	42	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
assemblage-3-2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2280	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	5	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
