Assemblage_Name	2-2-3405744	2-2515935-1	2-2-5920441	2-2837185-1	2-7720337-1	2-6833429-1	9701241-2-1	2-2-3290345	2-2-1777734	2-2-4221192	2-2-5018689	2-2-2780183	2-2-7998164	2-2-9472674	2-2-4512563	2-13450-1	2-9861183-1	4605109-2-1	2-8010543-1	2-9657891-1	2-2-5030007	2-273464-1	2-3783971-1	9742153-5574220-1	2-2-8071880	2-2-1951443	2-3490933-1	2-2-1618689	2-2-6365182	2-2-5688742	2-6254970-1	2-9812082-1	2-2-1391014	2-2-995913	1061991-2-1	2-2-6286271	1439931-2-1	2-859527-1	2-8811214-1	2004043-2-1	2-7406025-1	568403-2-1	4944029-2-1	6477008-2-1	2-8510653-1	9372137-2-1	2-2-3229471	2-2943710-1	2-2721204-1	2-2-9369362	1558810-2-1	2-4108311-1	2691694-2-1	2-2-9213688	3503521-2-1	2-520806-1	2-2-2026279	2-3992519-1	5142513-2-1	2-4729341-1	2-2-2319661	2-5543825-1	2-733081-1	803859-2-1	2-2739260-1	2-2505253-1	2-8024137-1	2-2-2306527	2-1063261-1	2-5382077-1	2-2-7948816	2-2-7761673	3661416-2-1	2-2-5003900	2-3347205-1	2-2-6084200	5430468-2-1	2-2-5661988	2-2-4510933	2-3889447-1	459168-2-1	3879492-2-1	1496518-2-1	2-5763671-1	2-2-7287706	1096043-2-1	2-2-687338	2-2278696-1	2-2168530-1	1997988-2-1	1085944-2-1	5704028-2-1	2-2-3544703	2-2-1	2-2-6928699	2-236098-1	2-5787310-1	7563804-2-1	2-9397160-1	2-7041592-1	2-2-7856073	2-7656287-1	2-2-7851752	2-2141832-1	2-2-3636719	2-2677504-1	7319845-2-1	5665182-2-1	2-7024850-1	7037061-2-1	8047064-2-1	2-3977604-1	56075-2-1	6113972-2-1	2-2-4604551	2-2-7897270	2-7525423-1	3628217-6117365-0	2-9920379-1	2-8777338-1	2-2-3495916	2-2-9903591	2734174-2-1	2-2-583794	2-2-150762	2-3378221-1	2-1632989-1	5194588-2-1	2-2-6852172	614160-2-1	2-2-3064268	2-2-1194794	2-2-8679817	9878633-2-1	1719152-2-1	2-2602445-1	2-4877061-1	2-6515677-1	2585343-2-1	2-2-525757	2-2-7077585	2-2-4142623	2-8351717-1	2-2-3260060	2-2-574805	3448906-2-1	2545197-2-1	2-3764898-1	2-2-2495829	2-2-1253464	2-340721-1	2-2-337027	2-9076942-1	2-2-9681865	1818073-2-1	2-2-7881041	2-8440780-1	6693295-2-1	351692-2-1	3242845-2-1	2-2-3288603	8393089-2-1	651940-2-1	2-2-9841744	2-5100791-1	2-2-2106585	3033404-2-1	2-2-6859224	7293427-2-1	2-2-8732355	5690377-2-1	2-9286538-1	9742153-2-1	2-2-2516987	2-2-5427724	2-9039491-1	8162879-2-1	2-4447583-1	2-489193-1	771443-2-1	2-2565574-1	2-3683881-1	2-2-7277785	2602736-2-1	9742153-2-3317610	2-2-6574536	2-2-7586004	1151725-2-1	3089590-2-1	2-2231982-1	2-2-5967771	2-2-7504959	2-95174-1	6531490-2-1	2-1127492-1	2-9324870-1	2-6629016-1	2-1638419-1	2-8949253-1	3628217-6117365-2346672	2-2-8691238	2-2-783337	2-2-2874653	2-9649913-1	2-2124029-1	2-8358962-1	3246993-2-1	2-2-9688883	2-6431289-1	2-2-9285049	2-2-7042423	2-5699840-1	2-2-9181246	2-2-19937	2-7898243-1	2-1118996-1	2-2-592442	2-2-2492650	7641233-2-1	2-6417682-1	7137801-2-1	2-3852243-1	2-2-3014743	2-2-1432615	3082818-2-1	2-2-1462559	2-9499137-1	3976343-2-1	2-2-6136773	2-87153-1	2-8774523-1	4074857-2-1	3880551-2-1	1846366-2-1	2-7214928-1	5065178-2-1	3033489-2-1	2-9109361-1	2-2-1879978	3661030-2-1
assemblage-15-2	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	49398	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0	119	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	68	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	3	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20905	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	921	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	46	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21116	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4
assemblage-12-4	0	0	3	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	27	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	28900	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20004	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	494	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20203	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	20215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	92	0	1	0	197	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	51	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	28922	1	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	262	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	0	1	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	37	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	14	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	88190	0	0	0	0	0	3	0	0	6	0	0	0	3	0	0	0	0	1	74	0	0	2	12	847	56	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	0	0	113	0	0	4	0	0	1	0	0	0	0	2	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	4	0	0	0	983	2	0	0	11	0	2	0	2	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	30	0	0	0	0	9	0	13	55	0	0	0	273	0	0	2	1	0	0	0	0	0	0	0	0	14	0	0	0	2	11	1	0	0	0	0	0	0	0
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17871	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	241	0	0	0	0	586	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	151	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	1	2	0	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20140	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
