Assemblage_Name	3-2816668-6670737	3-9202320-2	3-9723792-2	3-2-7945048	3-6391382-2	3-2816668-2	3-1440956-2	3-992025-815350	4527190-2-2	5824159-2816668-2	3-3333626-2	3-1637716-2	9767063-2816668-2	4071998-2816668-2	3-2816668-8614100	3531553-992025-3248782	3-2-7777156	3-3142596-2	3767842-2-2	9197173-992025-2	4260086-2816668-2	3-2-5972855	3-2-7597583	8447826-2816668-2	3-702375-2	3-992025-2	3-2816668-6559073	1619202-2-2	9807224-992025-2	3531553-992025-2	3-127264-2	3-3895102-2	3-2-2	3-2-8860225	7278923-2816668-2	3-259797-2	3-2816668-3470796	3-2816668-3141645	3-2-4392026
assemblage-15-2	0	0	1	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	60	4	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	133	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	2	17	0	0	0	1	1	0	0
assemblage-11-2	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	33	2	0	0	0	1	20	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	16	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	88	10	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	133	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	22	0	0	0	0	0	0	0	0	0
assemblage-12-2	1	0	0	0	1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	83	14	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	137	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	45	0	0	1	0	0	0	15	0	0	0	0	0	0
assemblage-1-4	0	0	0	2	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	1	58	6	0	0	0	0	0
assemblage-3-2	0	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	161	8	0	0	0	0	1
assemblage-21-4	0	0	0	0	0	142	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	39	0	0	0	13	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	3	1	13	0	0	0	1	0	0	0
assemblage-28-3	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	10	0	1	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	111	8	0	0	0	0	1
assemblage-6-2	0	0	0	0	0	152	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	11	0	0	0	0	1	0	0	0	0
assemblage-7-3	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	4	9	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	0	0	134	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	24	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	1	0	4	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	155	6	0	0	0	0	1
assemblage-18-4	0	0	0	0	0	146	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	6	0	7	0	0	0	2	0	1	0
assemblage-16-2	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	19	0	0	0	0	0	0
assemblage-19-1	0	0	0	3	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	75	8	0	0	0	0	0
assemblage-4-4	0	0	0	5	0	5	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	178	8	0	0	0	0	0
