Assemblage_Name	3150355-2-3	3-2-7087408	4589362-2-3	3-4068380-3	3-2-4138113	2537938-2-3	3-2-2687216	399711-2-3	3-8864923-3	3-2-2478487	3-2-1941986	7597544-2-3	3-2-3	3-2-6865762
assemblage-15-2	0	0	0	0	0	0	0	1	0	0	0	0	199	0
assemblage-11-3	0	12	0	0	0	0	0	0	0	0	0	0	188	0
assemblage-11-2	0	10	0	0	0	0	1	0	0	0	0	0	189	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-12-1	0	18	0	0	0	0	0	0	0	0	1	0	181	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-2-3	0	0	1	0	0	0	0	0	0	0	0	0	199	0
assemblage-1-4	0	2	0	0	1	0	1	0	0	0	0	0	196	0
assemblage-3-2	0	0	0	0	3	0	0	0	0	0	0	0	195	2
assemblage-21-4	0	17	0	0	0	0	0	0	0	0	3	0	180	0
assemblage-21-3	0	9	0	0	0	1	0	0	0	0	0	0	190	0
assemblage-28-3	0	21	0	0	0	0	0	0	0	0	0	0	179	0
assemblage-25-4	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-6-2	0	17	0	0	0	0	0	0	1	0	1	0	181	0
assemblage-7-3	1	7	0	0	0	1	1	0	0	0	0	0	190	0
assemblage-20-3	0	21	0	0	0	0	0	0	1	1	0	0	177	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-18-4	0	17	0	0	0	0	1	0	1	0	0	0	181	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-19-1	0	0	0	1	2	0	0	0	0	0	0	0	197	0
assemblage-4-4	0	0	0	0	5	0	0	0	0	0	0	3	191	1
