Assemblage_Name	1-3-9180369	1-3-6588641	1-4-1	7280249-3-2	1-1413914-2	1-3-3936170	6856185-3-2	1-7758342-2	1-3-4631824	1-3-2	1-3-7073785	1-5497455-2	1-3-7181869	1-2532528-2	1-3-856949	1-3-5348156	1-3-7332925	973482-3-2	1-3332418-1	1-1282233-2	1-3-5189069	1-1348388-5348156	1-3-5700833	1-3-4783663	5902743-3-5348156	1-1287212-2	7578691-3-2
assemblage-15-2	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	95	0	0	0	0	0	2	1	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	106	0	0	0	0	0	1	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	168	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	191	0	1	0	0	0	5	0	0	0	1	0	0	0	2	0	0	0
assemblage-12-2	0	0	1	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	0	1	0	0	170	0	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0
assemblage-1-4	0	0	8	0	0	1	0	0	0	153	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-2	11	0	27	0	0	0	0	0	1	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	1	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	93	0	0	0	1	0	103	0	0	0	0	0	1	1	0	1	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0
assemblage-25-4	4	0	12	1	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	190	0	0	1	0	0	7	0	0	0	2	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	108	0	0	0	1	1	88	0	0	0	0	0	1	1	0	0	0	0
assemblage-20-3	0	2	0	0	0	0	0	0	0	188	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0
assemblage-20-1	6	0	26	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1
assemblage-19-1	7	0	8	0	1	0	0	2	0	169	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
assemblage-4-4	7	0	31	0	0	0	0	0	0	157	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0
