Assemblage_Name	4469460-0-2	3-0-4046927	3-0-4327398	3-0-4589647	3-0-2	3-6376569-2	3-0-3135707	9239143-0-2	3-5900807-2	3-0-3060543	3-3259261-2	3-0-5318462	3-0-2298865	3-0-5767885
assemblage-15-2	0	0	0	0	200	0	0	0	0	0	0	0	0	0
assemblage-11-3	2	0	1	0	175	0	0	15	0	4	0	0	1	2
assemblage-11-2	1	0	0	0	184	0	0	5	0	0	0	0	1	9
assemblage-12-4	0	0	0	0	198	0	2	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	200	0	0	0	0	0	0	0	0	0
assemblage-12-1	12	0	0	0	183	0	0	5	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	199	1	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	196	0	3	0	0	0	0	0	1	0
assemblage-1-4	0	0	0	0	193	0	2	3	0	0	0	0	2	0
assemblage-3-2	0	0	0	1	193	0	0	0	0	0	6	0	0	0
assemblage-21-4	16	0	0	0	182	0	0	2	0	0	0	0	0	0
assemblage-21-3	5	0	0	0	172	0	0	20	1	2	0	0	0	0
assemblage-28-3	17	0	0	0	179	0	0	4	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	199	1	0	0	0	0	0	0	0	0
assemblage-6-2	14	1	0	0	181	0	0	2	0	0	0	2	0	0
assemblage-7-3	5	0	0	0	178	0	0	12	0	2	0	0	3	0
assemblage-20-3	12	0	0	0	188	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	198	0	0	0	0	0	2	0	0	0
assemblage-18-4	6	0	0	0	182	0	0	11	0	1	0	0	0	0
assemblage-16-2	0	0	0	0	200	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	0	0	0	196	1	0	0	0	0	2	0	1	0
assemblage-4-4	0	0	0	0	200	0	0	0	0	0	0	0	0	0
