Assemblage_Name	1-8287493-1	1-4-1	2788387-4-1	1-117370-1	1-4181672-1	1218385-4-1	1-0-3	1-8603875-1	1-8454468-1	7071895-4-1	1-2473642-1	1-4-2107827	1-4-9731184	1-4-3201660	7571055-4-1	9445038-4-1	1-4-5085184	1-4-9116987	1-3242705-1
assemblage-15-2	0	198	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-11-3	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	198	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	1	193	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-12-1	0	199	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-12-2	0	190	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	3	0
assemblage-2-3	0	197	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	194	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0
assemblage-3-2	0	168	0	0	0	1	30	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-21-4	0	199	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	176	1	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	174	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	199	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-16-2	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	185	0	0	0	1	12	0	0	0	0	0	0	0	0	1	0	0	1
assemblage-4-4	0	184	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0
