Assemblage_Name	2-6696048-4	2-3-4	1361207-3-4	2-3-7557611	6363234-1149897-4	2-3-487829	2-3-7458041	2-3-3262008	2168052-3-4	2-3-5327776	2-3-291171	2-2757501-4	2-3-6321611	2-4103964-4	2-9538302-4	8560548-3-4	6363234-3-4	2-3722469-4	1383814-3-4	2-3-8131332	2-7032110-4	2-1341371-4	2-3-4767110	2-3-3876189	2-3-6374028	2-5471223-4	2686716-3-4	2-3-1066110	7529556-3-4	5409745-3-4	2-3-7296217	2-7117373-4
assemblage-15-2	0	194	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
assemblage-11-3	0	165	0	0	0	0	0	0	0	0	0	2	0	16	0	0	6	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0
assemblage-11-2	0	161	0	0	0	0	0	0	0	2	0	1	0	26	0	0	7	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
assemblage-12-4	0	187	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	2	3	0	0	0	0
assemblage-28-1	0	197	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	1	177	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
assemblage-12-2	0	194	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
assemblage-1-4	0	176	0	0	0	0	0	0	3	0	0	0	0	8	0	1	2	5	0	0	0	0	1	0	0	2	1	1	0	0	0	0
assemblage-3-2	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-4	0	182	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	157	0	0	0	0	0	0	0	0	0	7	0	20	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1
assemblage-28-3	0	193	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	192	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0
assemblage-6-2	0	184	0	0	0	0	0	1	0	0	1	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	160	0	0	0	1	0	0	0	0	0	2	0	23	0	0	6	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1
assemblage-20-3	0	183	1	0	0	0	0	1	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0	0
assemblage-18-4	0	170	0	0	0	0	0	0	0	0	0	1	0	18	1	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1
assemblage-16-2	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
assemblage-19-1	0	193	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
assemblage-4-4	0	168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
